seat_id,x,y,z
right_seats.295,25.1107,81.4061,14.708
left_seats.296,25.1107,-6.4896,15.1184
right_seats.296,25.1107,82.191,15.1184
left_seats.297,25.1107,-7.2745,15.5287
right_seats.297,25.1107,82.9759,15.5287
left_seats.298,25.1107,-8.0594,15.9391
right_seats.298,25.1107,83.7609,15.9391
left_seats.299,25.1107,-8.8444,16.3494
right_seats.299,25.1107,84.5458,16.3494
left_seats.300,25.1107,-9.6293,16.7598
right_seats.300,25.1107,85.3307,16.7598
left_seats.301,25.5828,-2.5649,13.0666
right_seats.301,25.5828,78.2663,13.0666
left_seats.302,25.5828,-3.3498,13.477
right_seats.302,25.5828,79.0513,13.477
left_seats.303,25.5828,-4.1348,13.8873
right_seats.303,25.5828,79.8362,13.8873
left_seats.304,25.5828,-4.9197,14.2977
right_seats.304,25.5828,80.6211,14.2977
left_seats.305,25.5828,-5.7046,14.708
right_seats.305,25.5828,81.4061,14.708
left_seats.306,25.5828,-6.4896,15.1184
right_seats.306,25.5828,82.191,15.1184
left_seats.307,25.5828,-7.2745,15.5287
right_seats.307,25.5828,82.9759,15.5287
left_seats.308,25.5828,-8.0594,15.9391
right_seats.308,25.5828,83.7609,15.9391
left_seats.309,25.5828,-8.8444,16.3494
right_seats.309,25.5828,84.5458,16.3494
left_seats.310,25.5828,-9.6293,16.7598
right_seats.310,25.5828,85.3307,16.7598
left_seats.311,26.0549,-2.5649,13.0666
right_seats.311,26.0548,78.2663,13.0666
left_seats.312,26.0549,-3.3498,13.477
right_seats.312,26.0548,79.0513,13.477
left_seats.313,26.0549,-4.1348,13.8873
right_seats.313,26.0548,79.8362,13.8873
left_seats.314,26.0549,-4.9197,14.2977
right_seats.314,26.0548,80.6211,14.2977
